id;tracking_code;date;details;invoice_id
1;contextually-based;2019-06-18T22:36:52;Jewelery cutting-edge;4
2;Hat;2019-06-19T01:20:27;Bedfordshire Bahamian Dollar;3
3;User-centric Gloves;2019-06-19T08:54:31;Oklahoma facilitate;1
4;Versatile Exclusive Moroccan Dirham;2019-06-18T21:03:53;Plastic;10
5;mission-critical;2019-06-18T14:43:14;paradigms Home;4
6;deposit Canadian Dollar Lebanon;2019-06-19T03:24:44;Dominican Republic Credit Card Account Handmade;4
7;Re-contextualized;2019-06-18T18:53:02;Point Orchestrator;4
8;bypassing optical;2019-06-19T10:32:30;Bedfordshire;7
9;HDD;2019-06-19T06:20:10;red firewall open-source;4
10;Rustic Quality;2019-06-19T04:37:02;Cambridgeshire hacking;7
